,Developed By,NOS Title,Suite,SuiteMetadata,Occupations,OccupationsMetadata,Name,Validity,Indicative Review Date,NOS Document Status,URN,SOC Code,NOSCategory,Keywords,Original URN,Created,Modified,Item Type,Path
1632,energy & utility skills,maintain domestic gas space heating appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.8.pdf,current,2021-12-01 00:00:00,original,eusdsg3.8,5314,jobspecific,"install, installation, domestic, gas, space, space heating, heating appliances, utility, utilities",dsg 3.8,2018-02-12 11:51:53,2019-03-21 11:43:17,item,publishednos-old
1166,energy & utility skills,electrical fault finding on domestic gas appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.9.pdf,current,2021-12-01 00:00:00,original,eusdsg3.9,,,"electrical, electricity, fault, fault finding, domestic, gas, utility, utilities",dsg 3.9,2018-10-05 16:04:23,2018-10-05 16:04:23,item,publishednos
1631,energy & utility skills,electrical fault finding on domestic gas appliances,down stream gas,1260;#down stream gas,engineering; science and engineering technicians,55;#engineering;#563;#science and engineering technicians,eusdsg3.9.pdf,current,2021-12-01 00:00:00,original,eusdsg3.9,5314,core,"electrical, electricity, fault, fault finding, domestic, gas, utility, utilities",dsg 3.9,2018-02-12 11:51:56,2019-03-21 11:43:31,item,publishednos-old
683,energy & utility skills,create an efficient and effective work environment for site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc001.pdf,current,2021-12-01 00:00:00,original,eus gnc001,,,"gas, network, gas network, safe",eus gnc001,2018-10-05 16:02:53,2019-02-14 11:18:06,item,publishednos
1661,energy & utility skills,create an efficient and effective work environment for site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc001.pdf,current,2021-12-01 00:00:00,original,eus gnc001,5314,generic,"gas, network, gas network, safe",eusgnc001,2018-01-31 10:58:47,2019-03-21 12:33:09,item,publishednos-old
682,energy & utility skills,maintain a safe and secure working environment during site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc002.pdf,current,2021-12-01 00:00:00,original,eus gnc002,,,"gas, network, gas network",eus gnc002,2018-10-05 16:02:59,2019-02-14 11:18:10,item,publishednos
1660,energy & utility skills,maintain a safe and secure working environment during site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc002.pdf,current,2021-12-01 00:00:00,original,eus gnc002,5314,core,"gas, network, gas network",eus gnc002,2018-01-31 10:58:50,2019-03-21 12:33:46,item,publishednos-old
681,energy & utility skills,establish and maintain effective working relationships on gas network construction sites ,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc003.pdf,current,2021-12-01 00:00:00,original,eus gnc003,,,"gas, network, gas network, relationships",eus gnc003,2018-10-05 16:03:00,2019-02-14 11:18:15,item,publishednos
1659,energy & utility skills,establish and maintain effective working relationships on gas network construction sites ,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc003.pdf,current,2021-12-01 00:00:00,original,eus gnc003,5314,core,"gas, network, gas network, relationships",eus gnc003,2018-01-31 10:58:53,2019-03-21 12:34:01,item,publishednos-old
679,energy & utility skills,install equipment for safe working on construction sites during gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc005.pdf,current,2021-12-01 00:00:00,original,eus gnc005,,,"gas, network, gas network, install, equipment",eus gnc005,2018-10-05 16:03:02,2019-02-14 11:18:26,item,publishednos
1657,energy & utility skills,install equipment for safe working on construction sites during gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc005.pdf,current,2021-12-01 00:00:00,original,eus gnc005,5314,jobspecific,"gas, network, gas network, install, equipment",eus gnc005,2018-01-31 10:58:58,2019-03-21 12:35:01,item,publishednos-old
678,energy & utility skills,locate and avoid supply apparatus in non routine operations for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc006.pdf,current,2021-12-01 00:00:00,original,eus gnc006,,,"gas, network, gas network, locate, avoid, locate and avoid",eus gnc006,2018-10-05 16:03:04,2019-02-14 11:18:31,item,publishednos
1656,energy & utility skills,locate and avoid supply apparatus in non routine operations for gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc006.pdf,current,2021-12-01 00:00:00,original,eus gnc006,5314,core,"gas, network, gas network, locate, avoid, locate and avoid",eus gnc006,2018-01-31 10:59:01,2019-03-21 12:36:00,item,publishednos-old
676,energy & utility skills,reinstate excavation and pavement surfaces in site operations gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc008.pdf,current,2021-12-01 00:00:00,original,eus gnc008,,,"gas, network, gas network, reinstatement, reinstate, pavement, excavation",eus gnc008,2018-10-05 16:03:06,2019-02-14 11:18:39,item,publishednos
1654,energy & utility skills,reinstate excavation and pavement surfaces in site operations gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc008.pdf,current,2021-12-01 00:00:00,original,eus gnc008,5314,core,"gas, network, gas network, reinstatement, reinstate, pavement, excavation",eus gnc008,2018-01-31 10:59:07,2019-03-21 12:36:30,item,publishednos-old
675,energy & utility skills,operate powered tools and equipment and small mobile plant for site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc009.pdf,current,2021-12-01 00:00:00,original,eus gnc009,,,"gas, network, gas network, powered tools, tools",eus gnc009,2018-10-05 16:03:08,2019-02-14 11:18:44,item,publishednos
1653,energy & utility skills,operate powered tools and equipment and small mobile plant for site operations on gas network construction,gas network construction,1257;#gas network construction,"gas team leaders, craftspersons and technicians","1288;#gas team leaders, craftspersons and technicians",eusgnc009.pdf,current,2021-12-01 00:00:00,original,eus gnc009,5223,core,"gas, network, gas network, powered tools, tools",eus gnc009,2018-01-31 10:59:09,2019-03-21 12:36:21,item,publishednos-old
