Skill name,Skill cluster
harness horses to carriage,driving and automotive maintenance
motor oils,driving and automotive maintenance
dry tobacco leaves,driving and automotive maintenance
control minor maintenance,driving and automotive maintenance
all terrain vehicles,driving and automotive maintenance
operate stowage programme,driving and automotive maintenance
crane load chart,driving and automotive maintenance
switchyard,driving and automotive maintenance
lawn care,driving and automotive maintenance
animal transportation vehicles,driving and automotive maintenance
check train engine,driving and automotive maintenance
tend wine manufacturing machines,driving and automotive maintenance
program language pl i,driving and automotive maintenance
remove snow,driving and automotive maintenance
maintain sorting equipment,driving and automotive maintenance
inspect machinery,driving and automotive maintenance
combination inspection,driving and automotive maintenance
inspect offshore construction,driving and automotive maintenance
repair goods,driving and automotive maintenance
inspect worn tyres,driving and automotive maintenance
close loop,driving and automotive maintenance
train employee,driving and automotive maintenance
cook dairy products,driving and automotive maintenance
operate meat processing equipment,driving and automotive maintenance
assemble barrels,driving and automotive maintenance
operate hoist,driving and automotive maintenance
perform playground surveillance,driving and automotive maintenance
car jockey,driving and automotive maintenance
farm files livestock,driving and automotive maintenance
masts,driving and automotive maintenance
train dogs,driving and automotive maintenance
inspect engine room,driving and automotive maintenance
